gene	acession	vfid	VFID	VF_Name	VF_FullName	Bacteria	VFCID	VFcategory	Characteristics	Structure	Function	Mechanism	Reference
shuV	YP_405013	VF0256	VF0256	Shu		Shigella dysenteriae	VFC0272	Nutritional/Metabolic factor	"Heme utilization genes have been identified in numerous pathogens, including E. coli O157:H7, Yersinia pestis, Yersinia enterocolitica, Vibrio cholerae, Haemophilus influenzae, Neisseria meningitidis, etc.; Two heme-uptake systems:; (1) direct binding of heme or heme-containing proteins to specific outer membrane receptors; (2) secretion of hemophores to interact with the hemoproteins and present it to specific receptors"		"Shu heme utilization locus includes:; ShuA, TonB-denpendent heme receptor which is critical for the uptake of heme into the periplasm,; ShuT, putative periplasmic binding protein which specifically binds heme and acts as a soluble receptor for active uptake of heme into the cytoplasm; ShuU and ShuV comprise the cytoplasmic membrane permease and ATPase; ShuS, soluble cytoplasmic protein may function as a heme storage proteins during periods of active heme transport and as a DNA binding protein to protect the DNA from heme mediated oxidative damage"		Abstract(s) in PubMed
ipaJ	NP_858255	SS011	
ospI	NP_858342	SS011	
hlgA	NP_647159	VF0011	VF0011	<gamma>-hemolysin		Staphylococcus aureus	VFC0235	Exotoxin	"Three protein (HlgA, HlgB, HlgC) are virtually identical in sequence to leukocidin component S and F, thus <gamma>-hemolysin may act similarly to leukocidin; S component: HlgA, HlgC. F component: HlgB"	Leukocidin F (Hlgb): 1LKF	Have a role similar to that of PVL		Abstract(s) in PubMed
hlgC	NP_647160	VF0011	VF0011	<gamma>-hemolysin		Staphylococcus aureus	VFC0235	Exotoxin	"Three protein (HlgA, HlgB, HlgC) are virtually identical in sequence to leukocidin component S and F, thus <gamma>-hemolysin may act similarly to leukocidin; S component: HlgA, HlgC. F component: HlgB"	Leukocidin F (Hlgb): 1LKF	Have a role similar to that of PVL		Abstract(s) in PubMed
hlgB	NP_647161	VF0011	VF0011	<gamma>-hemolysin		Staphylococcus aureus	VFC0235	Exotoxin	"Three protein (HlgA, HlgB, HlgC) are virtually identical in sequence to leukocidin component S and F, thus <gamma>-hemolysin may act similarly to leukocidin; S component: HlgA, HlgC. F component: HlgB"	Leukocidin F (Hlgb): 1LKF	Have a role similar to that of PVL		Abstract(s) in PubMed
lukF-PV	NP_646195	VF0018	VF0018	PVL	Panton-Valentine leukocidin	Staphylococcus aureus	VFC0235	Exotoxin	"PVL, together with <gamma>-hemolysin and other leukocidins such as LukE-LukD, belongs to the family of bicomponent synergohymenotropic toxins; pore-forming toxin rich in <beta>-sheet structures"	LukF-PV component: the stem domain is folded into three antiparallel <beta>-strand in the water-soluble form and refold into a transmembrane <beta>-hairpin during pore formation; PDB code: 1PVL	"Induce cell activation linked to a Ca2+ influx, and pore formation as two consecutive and independently inhibitable events"		Abstract(s) in PubMed
lukS-PV	NP_646196	VF0018	VF0018	PVL	Panton-Valentine leukocidin	Staphylococcus aureus	VFC0235	Exotoxin	"PVL, together with <gamma>-hemolysin and other leukocidins such as LukE-LukD, belongs to the family of bicomponent synergohymenotropic toxins; pore-forming toxin rich in <beta>-sheet structures"	LukF-PV component: the stem domain is folded into three antiparallel <beta>-strand in the water-soluble form and refold into a transmembrane <beta>-hairpin during pore formation; PDB code: 1PVL	"Induce cell activation linked to a Ca2+ influx, and pore formation as two consecutive and independently inhibitable events"		Abstract(s) in PubMed
ebp	NP_646186	VF0008	VF0008	EbpS	Elastin-binding protein	Staphylococcus aureus	VFC0001	Adherence	Belongs to MSCRAMMs family	"An integral membrane protein, the elastin-binding domain is located at the N-terminus and is exposed at the surface; lacks a signal sequence and the C-terminal LPXTG motif"	Promotes bacterial colonization to facilitate pathogenesis	"Elastin, along with microfibrillar components, are a major component of the elastic fiber ECM. Elastin and elastic fibers are present in abundance in tissues that require elasticity such as the lung, skin, and major blood vessels. Elastin is a polymer of tropoelastin monomers that are secreted from mammalian cells prior to deposition in tissue and cross-linking via modified lysine side chains. EbpS binds to the N-terminal 30-kDa region of elastin, which does not contain the VGVAPG hexapeptide recognition motif for the mammalian elastin receptor"	Abstract(s) in PubMed
sdrC	NP_645333	VF0019	VF0019	SDr	Ser-Asp rich proteins	Staphylococcus aureus	VFC0001	Adherence		"Characterized by the R domain containing Ser-Asp dipeptide repeats; structural organization similar to that of ClfA and ClfB, except for an additional B repeat comprising 110-113 residues located between A domain and the R domain. The function of B domain is unknown. Each repeat has high affinity Ca2+ -binding sites. Bound Ca2+ is required to promote the rigid rod-like structure of the B repeat array"	Binds to bone sialoprotein and fibrinogen		Abstract(s) in PubMed
sdrD	NP_645334	VF0019	VF0019	SDr	Ser-Asp rich proteins	Staphylococcus aureus	VFC0001	Adherence		"Characterized by the R domain containing Ser-Asp dipeptide repeats; structural organization similar to that of ClfA and ClfB, except for an additional B repeat comprising 110-113 residues located between A domain and the R domain. The function of B domain is unknown. Each repeat has high affinity Ca2+ -binding sites. Bound Ca2+ is required to promote the rigid rod-like structure of the B repeat array"	Binds to bone sialoprotein and fibrinogen		Abstract(s) in PubMed
sdrE	NP_645335	VF0019	VF0019	SDr	Ser-Asp rich proteins	Staphylococcus aureus	VFC0001	Adherence		"Characterized by the R domain containing Ser-Asp dipeptide repeats; structural organization similar to that of ClfA and ClfB, except for an additional B repeat comprising 110-113 residues located between A domain and the R domain. The function of B domain is unknown. Each repeat has high affinity Ca2+ -binding sites. Bound Ca2+ is required to promote the rigid rod-like structure of the B repeat array"	Binds to bone sialoprotein and fibrinogen		Abstract(s) in PubMed
fnbB	NP_647237	VF0010	VF0010	FnBPs	Fibronectin binding proteins	Staphylococcus aureus	VFC0001	Adherence	"Belongs to MSCRAMMs family; most strains of S. aureus express two related Fn-binding proteins FnBPA and FnBPB, which are encoded by closely linked genes"	"Anchored to the cell wall by LPXTG motif; the primary ligand binding domain, which is almost identical in FnBPA and FnBPB, is located very close to the cell-wall-spanning domain and consists of 3 - 5 repeats of a <= 40-aa motif, this repeat domain appears to lack a folded secondary structure. When binds to fibronectin it takes structural rearrangements in the D repeat region. This conformational change is accompanied by the formation of neo-epitopes called ligand-induced binding site (LIBS) epitopes"	Facilitates attachment of the staphylococcus to host cells; may function as invasin to invade non-professional phagocytes	Fibronectin is a dimeric glycoprotein that occurs in a soluble form in body fluids and in a fibrillar form in the ECM. The primary function of fibronectin is to act as a substratum for the adhesion of cells mediated by integrin receptors that bind to specific sites in the central part of fibronectin. FnBPs bind fibronectin via the type I modules at the N-terminus. Fn is bound to the <alpha>5<beta>1 integrin on the surface of the host cell at the central fibronectin RGD (Arg-Gly-Asp) motif-bearing module. Thus fibronectin forms a bridge between the bacterial FnBP adhesin and the mammalian cell integrin.	Abstract(s) in PubMed
fnbA	NP_647238	VF0010	VF0010	FnBPs	Fibronectin binding proteins	Staphylococcus aureus	VFC0001	Adherence	"Belongs to MSCRAMMs family; most strains of S. aureus express two related Fn-binding proteins FnBPA and FnBPB, which are encoded by closely linked genes"	"Anchored to the cell wall by LPXTG motif; the primary ligand binding domain, which is almost identical in FnBPA and FnBPB, is located very close to the cell-wall-spanning domain and consists of 3 - 5 repeats of a <= 40-aa motif, this repeat domain appears to lack a folded secondary structure. When binds to fibronectin it takes structural rearrangements in the D repeat region. This conformational change is accompanied by the formation of neo-epitopes called ligand-induced binding site (LIBS) epitopes"	Facilitates attachment of the staphylococcus to host cells; may function as invasin to invade non-professional phagocytes	Fibronectin is a dimeric glycoprotein that occurs in a soluble form in body fluids and in a fibrillar form in the ECM. The primary function of fibronectin is to act as a substratum for the adhesion of cells mediated by integrin receptors that bind to specific sites in the central part of fibronectin. FnBPs bind fibronectin via the type I modules at the N-terminus. Fn is bound to the <alpha>5<beta>1 integrin on the surface of the host cell at the central fibronectin RGD (Arg-Gly-Asp) motif-bearing module. Thus fibronectin forms a bridge between the bacterial FnBP adhesin and the mammalian cell integrin.	Abstract(s) in PubMed
icaR	NP_647402	VF0014	VF0014	Intercellular adhesion proteins		Staphylococcus aureus	VFC0271	Biofilm	"IcaA, icaB, icaC, icaD synthesize a polysaccharide, poly-n-succinyl-<beta>-1,6 glucosamine (PNSG) during infection"		"PNSG is critical to biofilm elaboration, allowing bacteria to adhere to one another, and may also promote adherence to other molecules, such as ECM components"		Abstract(s) in PubMed
